iter	RMSE
1221	52141.04326
1222	52066.35761
1223	52059.53152
1224	52004.22368
1225	51975.89662
1226	51922.49547
1227	51871.76184
1228	51793.17909
1229	51769.63992
1230	51761.07018
1231	51706.28817
1232	51643.46235
1233	51623.54374
1234	51543.44538
1235	51536.65868
1236	51529.1398
1237	51452.26048
1238	51403.74212
1239	51347.10955
1240	51284.67703
1241	51222.98856
1242	51205.1669
1243	51148.13014
1244	51128.86664
1245	51094.34085
1246	51070.80945
1247	51019.48451
1248	50978.03135
1249	50926.14375
1250	50889.77512
1251	50844.50667
1252	50811.38037
1253	50783.57139
1254	50710.84749
1255	50683.68495
1256	50665.50633
1257	50636.84261
1258	50564.37096
1259	50502.67077
1260	50450.98424
1261	50371.67838
1262	50336.53837
1263	50273.5605
1264	50216.54968
1265	50160.18327
1266	50128.78258
1267	50063.2318
1268	50057.2181
1269	50050.97717
1270	49981.43172
1271	49911.95809
1272	49881.94693
1273	49816.13973
1274	49798.96968
1275	49735.58331
1276	49685.81096
1277	49628.83298
1278	49561.05031
1279	49555.28844
1280	49502.1705
1281	49435.40257
1282	49396.80954
1283	49356.18194
1284	49299.97858
1285	49234.66059
1286	49228.41061
1287	49210.59153
1288	49192.98762
1289	49169.36186
1290	49133.82416
1291	49119.16009
1292	49042.95645
1293	49010.44354
1294	48953.94109
1295	48908.22869
1296	48872.19305
1297	48822.55515
1298	48817.55903
1299	48778.49201
1300	48716.14853
1301	48706.56277
1302	48644.60328
1303	48571.32554
1304	48546.85665
1305	48517.14004
1306	48446.6534
1307	48397.96837
1308	48390.22792
1309	48371.6274
1310	48317.82901
1311	48272.31982
1312	48230.03363
1313	48222.26876
1314	48186.99982
1315	48181.51514
1316	48174.62034
1317	48168.93521
1318	48112.90823
1319	48061.7274
1320	48055.32839
1321	48002.80885
1322	47943.66112
1323	47886.56599
1324	47799.49981
1325	47765.96222
1326	47761.29685
1327	47699.30816
1328	47625.64333
1329	47567.94813
1330	47485.34427
1331	47424.9068
1332	47350.9645
1333	47254.7982
1334	47219.80457
1335	47212.24858
1336	47188.37181
1337	47130.9395
1338	47096.05647
1339	47040.31403
1340	47009.92116
1341	46995.6701
1342	46990.47542
1343	46951.6027
1344	46896.31843
1345	46821.1536
1346	46748.63009
1347	46733.03018
1348	46672.49954
1349	46613.90447
1350	46521.17627
1351	46494.81232
1352	46407.78335
1353	46368.908
1354	46337.35081
1355	46282.58264
1356	46209.16652
1357	46172.702
1358	46167.94948
1359	46121.45775
1360	46066.10204
1361	46008.2418
1362	45969.92581
1363	45890.59995
1364	45835.86498
1365	45773.71862
1366	45727.13892
1367	45674.66714
1368	45671.12883
1369	45635.15792
1370	45565.39828
1371	45533.63325
1372	45465.70321
1373	45448.27844
1374	45435.39399
1375	45362.86071
1376	45317.49319
1377	45234.96892
1378	45230.73086
1379	45200.4165
1380	45197.34177
1381	45151.82293
1382	45064.72322
1383	45058.39684
1384	44995.16384
1385	44979.0651
1386	44957.03359
1387	44938.30564
1388	44905.16224
1389	44819.60179
1390	44783.1622
1391	44727.54835
1392	44723.21951
1393	44646.49748
1394	44627.9144
1395	44569.76548
1396	44518.55399
1397	44506.84047
1398	44458.38696
1399	44453.11522
1400	44410.86243
1401	44348.62541
1402	44283.40581
1403	44280.59905
1404	44239.08896
1405	44162.73825
1406	44141.79388
1407	44136.1997
1408	44099.69205
1409	44096.11665
1410	44038.10813
1411	43964.42046
1412	43955.11567
1413	43921.0245
1414	43875.43988
1415	43834.37253
1416	43793.18647
1417	43759.98236
1418	43755.40592
1419	43700.65125
1420	43696.5913
1421	43639.693
1422	43564.25831
1423	43540.62058
1424	43537.54866
1425	43491.3746
1426	43423.74139
1427	43421.18604
1428	43377.16352
1429	43373.86731
1430	43344.37361
1431	43297.47777
1432	43235.34261
1433	43230.45137
1434	43217.56788
1435	43175.33216
1436	43103.68953
1437	43099.62006
1438	43049.25099
1439	43006.38147
1440	42974.42615
1441	42970.11268
1442	42957.62356
1443	42918.81951
1444	42886.32451
1445	42852.33113
1446	42844.97011
1447	42810.46081
1448	42806.99176
1449	42734.93599
1450	42665.69938
1451	42594.45894
1452	42579.38915
1453	42574.93809
1454	42569.29833
1455	42523.88793
1456	42495.09784
1457	42490.99346
1458	42486.83141
1459	42463.29135
1460	42417.00719
1461	42375.48204
1462	42325.77081
1463	42291.65837
1464	42288.20361
1465	42243.12882
1466	42240.19229
1467	42236.67406
1468	42211.82925
1469	42185.02439
1470	42170.27984
1471	42107.78614
1472	42104.31664
1473	42101.45636
1474	42075.06058
1475	42039.75565
1476	42011.69477
1477	41971.84882
1478	41968.04852
1479	41932.59747
1480	41899.33442
1481	41869.989
1482	41866.42335
1483	41802.09801
1484	41772.97409
1485	41733.60769
1486	41675.73697
1487	41630.83167
1488	41604.46206
1489	41571.32689
1490	41540.15545
1491	41485.97421
1492	41449.16541
1493	41429.77455
1494	41407.25095
1495	41339.86041
1496	41316.75548
1497	41273.32054
1498	41248.87076
1499	41198.4706
1500	41181.89382
1501	41153.21142
1502	41095.58918
1503	41063.0315
1504	41017.07358
1505	40986.43171
1506	40975.13361
1507	40912.16205
1508	40889.56798
1509	40840.36942
1510	40811.94935
1511	40782.44296
1512	40770.27029
1513	40718.95004
1514	40687.59943
1515	40651.49611
1516	40639.47288
1517	40615.4712
1518	40580.20876
1519	40547.26034
1520	40517.84257
1521	40473.68132
1522	40428.87665
1523	40365.63959
1524	40321.0321
1525	40297.5859
1526	40276.5746
1527	40255.7258
1528	40251.09526
1529	40234.98177
1530	40225.09683
1531	40207.57827
1532	40181.55681
1533	40169.14496
1534	40137.15405
1535	40114.44419
1536	40069.52489
1537	40041.23273
1538	40012.65205
1539	39981.87822
1540	39921.71409
1541	39896.87076
1542	39883.01122
1543	39846.26534
1544	39801.80343
1545	39762.60173
1546	39733.2324
1547	39707.7374
1548	39677.60157
1549	39646.59294
1550	39624.40874
1551	39603.27127
1552	39578.63585
1553	39543.10094
1554	39523.33615
1555	39511.39137
1556	39490.37037
1557	39423.03137
1558	39397.7156
1559	39384.51361
1560	39381.73356
1561	39367.79938
1562	39365.21017
1563	39309.73248
1564	39264.42092
